Source,Target,Passed_CI_Test
四.交通及通訊類,二.衣著類,pearsonr
一.食物類,二.衣著類,pearsonr
一.食物類,四.交通及通訊類,pearsonr
三.居住類,二.衣著類,pearsonr
三.居住類,四.交通及通訊類,pearsonr
三.居住類,一.食物類,pearsonr
總指數,二.衣著類,pearsonr
總指數,四.交通及通訊類,pearsonr
總指數,一.食物類,pearsonr
總指數,三.居住類,pearsonr
七.雜項類,二.衣著類,pearsonr
七.雜項類,四.交通及通訊類,pearsonr
七.雜項類,一.食物類,pearsonr
七.雜項類,三.居住類,pearsonr
七.雜項類,總指數,pearsonr
六.教養娛樂類,二.衣著類,pearsonr
六.教養娛樂類,四.交通及通訊類,pearsonr
六.教養娛樂類,一.食物類,pearsonr
六.教養娛樂類,三.居住類,pearsonr
六.教養娛樂類,總指數,pearsonr
六.教養娛樂類,七.雜項類,pearsonr
五.醫藥保健類,二.衣著類,pearsonr
五.醫藥保健類,四.交通及通訊類,pearsonr
五.醫藥保健類,一.食物類,pearsonr
五.醫藥保健類,三.居住類,pearsonr
五.醫藥保健類,總指數,pearsonr
五.醫藥保健類,七.雜項類,pearsonr
五.醫藥保健類,六.教養娛樂類,pearsonr
