Source,Target,IV_Effect,LR_Effect
六.教養娛樂類,三.居住類,0.5518944251078904,0.3296505057531969
一.食物類,三.居住類,0.07385539441969814,0.04836120910337999
二.衣著類,三.居住類,0.22447860062582745,-0.005238840591644502
七.雜項類,六.教養娛樂類,-0.08674072924910438,0.07294834120443676
二.衣著類,六.教養娛樂類,0.1520224474261553,0.014742305123602376
一.食物類,六.教養娛樂類,0.13070491354030372,0.01565394575259932
七.雜項類,三.居住類,0.3414602666704361,0.0032835497409560675
七.雜項類,一.食物類,-1.285567531649331,-0.09865156051210439
總指數,六.教養娛樂類,0.1712617978233682,0.2279249555385272
二.衣著類,一.食物類,2.17227819891227,0.7843747637572337
二.衣著類,七.雜項類,-0.3300020935966501,-0.05257465241060746
總指數,三.居住類,0.3109641797349093,0.1839230355251237
總指數,一.食物類,1.933064439075502,1.382107596301353
總指數,七.雜項類,-0.08307899311518575,-0.18452766911425297
五.醫藥保健類,三.居住類,0.06237944506193403,-0.004928835324003549
總指數,二.衣著類,0.8585931646239578,0.6145831998200775
五.醫藥保健類,六.教養娛樂類,0.3812341116650475,-0.010940303637603989
五.醫藥保健類,一.食物類,3.467853986599088,-0.10638078129645073
五.醫藥保健類,七.雜項類,-0.45678970387270723,-0.07436761593836375
五.醫藥保健類,二.衣著類,0.6454200307535831,0.018617835253927465
四.交通及通訊類,三.居住類,0.5989161552798843,0.04394341831004878
四.交通及通訊類,六.教養娛樂類,0.613466422546087,0.03241919669679759
五.醫藥保健類,總指數,-0.739394443204606,0.10432284123308706
四.交通及通訊類,一.食物類,3.7823240766481727,0.206706695137938
四.交通及通訊類,七.雜項類,-0.2547582035046939,0.020567716919257246
四.交通及通訊類,二.衣著類,1.442338418591999,0.07393714191711305
四.交通及通訊類,五.醫藥保健類,0.03366592233929048,0.033822472128475084
四.交通及通訊類,總指數,1.5832837431692905,0.06580870703557111
